hotelName,stars,roomType,photoLink,seasons,extrabed,contractUntil
Solaris Hotel Kuta,3,Deluxe Room (ada connecting),,"{'normal': 450000, 'high': 650000, 'peak': 850000}",235000,31-Mar-26
Grand Livio,3,Superior Room,,"{'normal': 415000, 'high': 615000, 'peak': 665000}",200000,3/1/2026 0:00
Grand Livio,3,Livio Suite ,,"{'normal': 900000, 'high': 1100000, 'peak': 1150000}",,
Grand Livio,3,Family,,"{'normal': 675000, 'high': 875000, 'peak': 925000}",,
Boss Legian,3,Superior Room (ada connecting),,"{'normal': 350000, 'high': 525000, 'peak': 175000}",Campaign 01 April-30 September 2025,
Boss Legian,3,Suite Room,,"{'normal': 475000, 'high': 650000, 'peak': nan}",,
Boss Legian,3,Family Room,,"{'normal': 575000, 'high': 750000, 'peak': nan}",,
Boss Legian,3,Superior Room,,"{'normal': 375000, 'high': 550000, 'peak': 200000}",3/31/2026 0:00,
Boss Legian,3,Suite Room,,"{'normal': 525000, 'high': 700000, 'peak': nan}",,
Boss Legian,3,Family Room,,"{'normal': 625000, 'high': 800000, 'peak': nan}",,
Zia Kuta Hotel,3,Superior Room (ada connecting),,"{'normal': 400000, 'high': 575000, 'peak': 175000}",Campaign 01 April-30 September 2025,
Zia Kuta Hotel,3,Deluxe Room,,"{'normal': 500000, 'high': 675000, 'peak': nan}",,
Zia Kuta Hotel,3,Superior Room,,"{'normal': 425000, 'high': 600000, 'peak': 200000}",3/31/2026 0:00,
Zia Kuta Hotel,3,Deluxe Room,,"{'normal': 525000, 'high': 700000, 'peak': nan}",,
Evitel Resort Ubud,3,Superior Room,,"{'normal': 600000, 'high': nan, 'peak': 'Campaign until    30 June 2025'}",,
Evitel Resort Ubud,3,Deluxe Room,,"{'normal': 700000, 'high': nan, 'peak': nan}",,
Evitel Resort Ubud,3,Superior Room,,"{'normal': 800000, 'high': 900000, 'peak': '31 March 2026'}",,
Evitel Resort Ubud,3,Deluxe Room,,"{'normal': 950000, 'high': 1050000, 'peak': nan}",,
Evitel Resort Ubud,3,Suite Room,,"{'normal': 1600000, 'high': 1700000, 'peak': nan}",,
Stark Boutique Kuta Hotel,3,Superior Room,,"{'normal': 500000, 'high': 750000, 'peak': '30 Des 2025 (The above rate is not valid on 24-25 December (Natal Period) and 31st December (New \nYears) '}",,
Stark Boutique Kuta Hotel,3,Executive Room,,"{'normal': 600000, 'high': 850000, 'peak': nan}",,
Stark Boutique Kuta Hotel,3,Deluxe Room,,"{'normal': 800000, 'high': 1050000, 'peak': nan}",,
Stark Boutique Kuta Hotel,3,Stark Superior Room,,"{'normal': 600000, 'high': 850000, 'peak': nan}",,
Stark Boutique Kuta Hotel,3,Stark Executive Room ,,"{'normal': 800000, 'high': 1050000, 'peak': nan}",,
Stark Boutique Kuta Hotel,3,Stark Grand Deluxe,,"{'normal': 1300000, 'high': 1550000, 'peak': nan}",,
Legian Paradiso,3,Superior Room,,"{'normal': 350000, 'high': 415000, 'peak': '30 June 2025'}",,
Legian Paradiso,3,Deluxe Pool View Room ,,"{'normal': 400000, 'high': 475000, 'peak': nan}",,
Legian Paradiso,3,Super Deluxe Garden View Room     ,,"{'normal': 540000, 'high': 610000, 'peak': nan}",,
Legian Paradiso,3,Super Deluxe Pool View Room,,"{'normal': 640000, 'high': 705000, 'peak': nan}",,
Kutabex Beach Front Hotel,3,Superior Room,,"{'normal': 550000, 'high': nan, 'peak': nan}",,9/30/2025 0:00
Kutabex Beach Front Hotel,3,Deluxe Room,,"{'normal': 650000, 'high': nan, 'peak': nan}",250000,
Kutabex Beach Front Hotel,3,Kutabex Executive Room,,"{'normal': 950000, 'high': nan, 'peak': nan}",,
Kutabex Beach Front Hotel,3,Superior Room,,"{'normal': 750000, 'high': 900000, 'peak': 2700000}",,31-Mar-26
Kutabex Beach Front Hotel,3,Deluxe Room,,"{'normal': 850000, 'high': 1000000, 'peak': 2800000}",250000,
Kutabex Beach Front Hotel,3,Kutabex Executive Room,,"{'normal': 1100000, 'high': 1250000, 'peak': 3050000}",,
