hotelName,stars,roomType,photoLink,seasons,extrabed,publishPrice,contractUntil
Solaris Hotel Kuta,3,Deluxe Room (ada connecting),,"{'normal': 450000, 'high': 650000, 'peak': 850000}",235000,"{'normal': nan, 'high': 50000.0, 'peak': 500000}",31-Mar-26
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': nan}",Extrabed,"{'normal': nan, 'high': nan, 'peak': 'Normal Season'}",Batas Kontrak
Grand Livio,3,Superior Room,https://drive.google.com/drive/folders/12MGgb20-u8h0Jh2bdv9OefQWSIaexUQL,"{'normal': 415000, 'high': 615000, 'peak': 615000}",200000,"{'normal': nan, 'high': 50000.0, 'peak': 465000}",3/1/2026 0:00
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Peak Season'}",Batas Kontrak,"{'normal': nan, 'high': nan, 'peak': 'Normal Season'}",
Boss Legian,3,Superior Room (ada connecting),https://drive.google.com/drive/folders/1I2SO98WbiCl9vGRWVyyhF0A45ltT7BDG?hl=id,"{'normal': 350000, 'high': 525000, 'peak': nan}",Campaign 01 April-30 September 2025,"{'normal': nan, 'high': 50000.0, 'peak': 400000}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Peak Season'}",Batas Kontrak,"{'normal': nan, 'high': nan, 'peak': nan}",
Zia Kuta Hotel,3,Superior Room (ada connecting),https://drive.google.com/drive/folders/1HlOyyHrE8_XfwObO7G8W5OFv9rSqsNuO?usp=drive_link,"{'normal': 400000, 'high': 575000, 'peak': nan}",Campaign 01 April-30 September 2025,"{'normal': nan, 'high': 50000.0, 'peak': 550000}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': 'Normal Season'}",
Evitel Resort Ubud,3,Superior Room,https://drive.google.com/drive/folders/14VHuSTO3Q3WrYReiS_XIgcM9rj0cbHAZ,"{'normal': 600000, 'high': nan, 'peak': nan}",,"{'normal': nan, 'high': 80000.0, 'peak': 680000}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Stark Boutique Kuta Hotel,3,Superior Room,https://drive.google.com/drive/folders/1EDUshknFlDGHD1p3NfdRPAh3Kzg7M4s7?usp=sharing,"{'normal': 500000, 'high': 750000, 'peak': '-'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Legian Paradiso,3,Superior Room,https://tinyurl.com/legparfoto,"{'normal': 350000, 'high': 415000, 'peak': 175000}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Peak Season'}",Extrabed,"{'normal': nan, 'high': nan, 'peak': nan}",
Kutabex Beach Front Hotel,3,Superior Room,https://bit.ly/KutabexHotel,"{'normal': 550000, 'high': nan, 'peak': nan}",,"{'normal': nan, 'high': nan, 'peak': nan}",
